DATE,TIME_M,SYM_ROOT,SYM_SUFFIX,SIZE,PRICE
20210316,4:08:26.211025562,TSLA,,8,705.18
20210316,4:08:26.211028617,TSLA,,20,705.11
20210316,4:08:26.211032057,TSLA,,10,705.1
20210316,4:08:26.211036310,TSLA,,1,705
20210316,4:08:32.133289445,TSLA,,10,705.4
20210316,4:08:35.671139817,TSLA,,11,705.19
20210316,4:08:35.671139976,TSLA,,11,705.15
20210316,4:08:39.364823508,TSLA,,9,705.18
20210316,4:08:39.364825570,TSLA,,21,705
20210316,4:08:41.186157053,TSLA,,29,705
20210316,4:08:42.884803771,TSLA,,20,704.98
20210316,4:08:42.998285194,TSLA,,1,705.06
20210316,4:08:42.998285371,TSLA,,2,705
20210316,4:08:51.328031423,TSLA,,38,704.65
20210316,4:08:51.596717885,TSLA,,23,704.98
20210316,4:08:56.077694035,TSLA,,2,704.92
20210316,4:08:58.973955665,TSLA,,28,704.88
20210316,4:08:58.973955905,TSLA,,92,704.89
20210316,4:08:59.574170299,TSLA,,10,704.49
20210316,4:08:59.600951781,TSLA,,15,704.98
20210316,4:08:59.600952323,TSLA,,178,704.98
20210316,4:08:59.600955522,TSLA,,2,704.99
20210316,4:08:59.600958477,TSLA,,2,704.99
20210316,4:08:59.600963139,TSLA,,2,705
20210316,4:08:59.600966281,TSLA,,25,705.09
20210316,4:08:59.600968976,TSLA,,25,705.15
20210316,4:08:59.600972367,TSLA,,7,705.18
20210316,4:08:59.600975630,TSLA,,14,705.4
20210316,4:08:59.916707101,TSLA,,4,704.9
20210316,4:08:59.916760356,TSLA,,1,704.98
20210316,4:08:59.917208153,TSLA,,1,705
20210316,4:09:00.405137590,TSLA,,25,705.03
20210316,4:09:00.405139699,TSLA,,23,705.03
20210316,4:09:01.241430853,TSLA,,25,704.87
20210316,4:09:01.241433788,TSLA,,5,704.76
20210316,4:09:06.235460250,TSLA,,43,705
20210316,4:09:06.235879167,TSLA,,14,705.01
20210316,4:09:06.235879314,TSLA,,12,705
20210316,4:09:06.235879464,TSLA,,25,704.76
20210316,4:09:06.235879562,TSLA,,25,704.75
20210316,4:09:06.235888120,TSLA,,31,704.65
20210316,4:09:08.802220054,TSLA,,9,705
20210316,4:09:32.052886833,TSLA,,5,705
20210316,4:09:32.052886998,TSLA,,19,704.96
20210316,4:09:32.061234273,TSLA,,19,704.96
20210316,4:09:38.207245872,TSLA,,10,705
20210316,4:09:57.440669514,TSLA,,2,705.02
20210316,4:09:57.440669655,TSLA,,50,705
20210316,4:10:00.193486030,TSLA,,2,704.99
20210316,4:10:01.285225136,TSLA,,1,704.53
20210316,4:10:01.285228047,TSLA,,4,704.5
20210316,4:10:01.285576765,TSLA,,1,704.96
20210316,4:10:01.285576929,TSLA,,9,704.65
20210316,4:10:01.285577086,TSLA,,1,704.54
20210316,4:10:07.703693593,TSLA,,50,704.78
20210316,4:10:07.703693752,TSLA,,25,704.83
20210316,4:10:07.703693918,TSLA,,199,704.99
20210316,4:10:08.227398814,TSLA,,26,704.99
20210316,4:10:08.302844016,TSLA,,1,704.99
20210316,4:10:10.700864205,TSLA,,4,704.99
20210316,4:10:38.174877825,TSLA,,130,704.99
20210316,4:10:38.720584454,TSLA,,68,705
